2022-04-05 23:16:39 ERROR Mintermen:25 - Log4j error
2022-04-05 23:16:39 WARN  Mintermen:26 - Log4j Warn
2022-04-06 00:00:24 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 00:00:37 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 00:00:37 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 00:00:48 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 00:00:48 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 08:17:00 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 08:17:00 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 08:17:00 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 08:17:00 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 15:38:32 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 15:38:32 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 15:39:50 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 15:39:50 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 15:40:23 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 15:40:23 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 15:40:30 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 15:40:30 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 15:40:36 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 15:40:36 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 15:40:44 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 15:40:44 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 15:42:04 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 15:42:04 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 15:42:53 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 15:42:53 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 15:43:17 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 15:43:17 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 15:43:42 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 15:43:42 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-06 15:44:36 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-06 15:44:36 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 13:04:00 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 13:04:00 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 13:07:27 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 13:07:27 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 18:24:29 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 18:24:29 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 18:28:33 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 18:28:33 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 18:29:24 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 18:29:24 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 18:29:38 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 18:29:38 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 18:51:58 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 18:51:58 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 19:16:58 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 19:16:58 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 19:17:56 INFO  Mintermen:25 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 19:17:56 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 19:18:38 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 19:18:38 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 19:21:35 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 19:21:35 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 19:21:50 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 19:21:50 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 19:22:01 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 19:22:01 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 19:22:17 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 19:22:17 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 21:55:30 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 21:55:30 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 22:00:42 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 22:00:42 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 22:02:28 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 22:02:28 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 22:03:21 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 22:03:21 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 22:03:56 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 22:03:56 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-12 22:04:34 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-12 22:04:34 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-13 08:06:24 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-13 08:07:10 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-13 08:08:25 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-13 08:08:57 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-13 08:08:57 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-13 08:18:24 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-13 08:18:24 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-13 08:39:11 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-13 08:39:11 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-15 22:02:04 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-15 22:02:04 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-15 22:41:10 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-15 22:41:10 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-15 22:42:47 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-15 22:42:47 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-18 21:36:06 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-18 21:36:06 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-18 21:36:29 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-18 21:36:29 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-18 21:36:39 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-18 21:36:39 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-18 21:36:52 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-18 21:36:52 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-18 21:37:01 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-18 21:37:01 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-18 21:37:11 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-18 21:37:11 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-18 21:37:37 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-18 21:37:37 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-18 21:37:48 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-18 21:37:48 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-18 21:37:57 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-18 21:37:57 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-18 21:38:04 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-18 21:38:04 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-18 21:39:48 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-18 21:39:48 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:23:05 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:23:05 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:23:49 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:23:49 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:24:25 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:24:25 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:24:40 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:24:40 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:25:19 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:25:19 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:25:29 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:25:29 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:25:47 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:25:47 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:26:19 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:26:19 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:26:47 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:26:47 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:27:07 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:27:07 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:27:37 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:27:37 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:27:49 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:27:49 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:28:16 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:28:16 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:28:47 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:28:47 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:28:59 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:28:59 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:57:40 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:57:40 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:57:54 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:57:54 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 16:58:03 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 16:58:03 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:00:27 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:00:27 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:01:08 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:01:08 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:19:47 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:19:47 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:22:41 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:22:41 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:22:49 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:22:49 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:23:35 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:23:35 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:23:46 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:23:47 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:24:19 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:24:19 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:25:41 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:25:41 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:27:45 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:27:45 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:27:58 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:27:58 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:28:33 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:28:33 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:29:11 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:29:11 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:30:19 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:30:19 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:30:43 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:30:43 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:31:20 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:31:20 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:32:43 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:32:43 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:33:27 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:33:27 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:51:07 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:51:07 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:53:44 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:53:44 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:54:43 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:54:43 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:55:13 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:55:13 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:56:21 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:56:21 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:58:03 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:58:03 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:58:11 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:58:11 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:58:53 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:58:53 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:59:16 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:59:16 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:59:48 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:59:48 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 18:01:29 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 18:01:29 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 18:01:38 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 18:01:38 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
